"_id","author_details","title","isbn","publisher","date_published","rating","bookshelf_id","bookshelf","read","series_details","pages","notes","list_price","anthology","location","read_start","read_end","format","signed","loaned_to","anthology_titles","description","genre","language","date_added","goodreads_book_id","last_goodreads_sync_date","last_update_date","book_uuid",
"32","O'Malley, Bryan Lee","Scott Pilgrim's Precious Little Life","9781932664089","Oni Press","2004-08-24","0","1,","Default,","0","Scott Pilgrim (1)","168","","11.99","0","","","","Paperback","0","","","Scott Pilgrim's life is totally sweet. He's 23 years old, he's in a rockband, he's """"between jobs,"""" and he's dating a cute high school girl. Nothingcould possibly go wrong, unless a seriously mind-blowing, dangerouslyfashionable, rollerblading delivery girl named Ramona Flowers starts cruisingthrough his dreams and sailing by him at parties. Will Scott's awesome life getturned upside-down? Will he have to face Ramona's seven evil ex-boyfriends inbattle? The short answer is yes. The long answer is Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life","Comics & Graphic Novels / General","English","2014-01-21 19:12:45","29800","2014-09-27 04:26:21","2014-09-14 22:54:36","9f1441510809f466269428ded4b8c793",
"33","Wang, Jen","Koko Be Good","9781596435551","First Second","2010-09-14","0","1,","Default,","0","","304","","18.99","0","","","","Paperback","0","","","Koko’s always got a new project cooking, even though they usually end in total disaster. This time will be different, Koko promises herself. This time, she’s decided to Be Good. But how can a girl whose greatest talent is causing trouble get her act cleaned up? If she’s being honest with herself, Koko isn’t even sure what “being good” means.<br><br>Jon knows what being good means, and that’s why he’s going to Peru to support his girlfriend’s humanitarian mission. That’s good, all right, but is it what he wants? Jon has a promising future as a musician. Is he ready to give that up—maybe forever?<br><br>Two very different people, both struggling for direction, find their way into each other’s lives in Jen Wang’s first graphic novel. Honest, wrenching, and incredibly funny, Koko Be Good is a tour-de-force debut about human nature and the inhuman efforts we make to find ourselves.","Fiction / Coming of Age","English","2014-01-21 19:12:57","7885217","2014-09-27 04:26:27","2014-09-14 22:54:38","b242a0a37b56b776861d46e408014495",
"34","Satrapi, Marjane|Ripa, Mattias|Singh, Anjali","Persepolis 2: the Story Of a Return","9780375714665","Pantheon","2001-01-01","0","1,","Default,","0","Persepolis (3-4)|Persepolis|Persepolis (13\\|Omnibus 3-4)","192","","13.95","0","","","","Paperback","0","","","<p>In<i> Persepolis</i>, heralded by the <i>Los Angeles Times</i> as “one of the freshest and most original memoirs of our day,” Marjane Satrapi dazzled us with her heartrending memoir-in-comic-strips about growing up in Iran during the Islamic Revolution. Here is the continuation of her fascinating story. In 1984, Marjane flees fundamentalism and the war with Iraq to begin a new life in Vienna. Once there, she faces the trials of adolescence far from her friends and family, and while she soon carves out a place for herself among a group of fellow outsiders, she continues to struggle for a sense of belonging.<br><br>Finding that she misses her home more than she can stand, Marjane returns to Iran after graduation. Her difficult homecoming forces her to confront the changes both she and her country have undergone in her absence and her shame at what she perceives as her failure in Austria. Marjane allows her past to weigh heavily on her until she finds some like-minded friends, falls in love, and begins studying art at a university. However, the repression and state-sanctioned chauvinism eventually lead her to question whether she can have a future in Iran.<br><br>As funny and poignant as its predecessor, <i>Persepolis 2</i> is another clear-eyed and searing condemnation of the human cost of fundamentalism. In its depiction of the struggles of growing up—here compounded by Marjane’s status as an outsider both abroad and at home—it is raw, honest, and incredibly illuminating.</p>","History / Middle East / General","English","2014-01-21 19:13:07","9517","2014-09-27 04:26:34","2014-09-14 22:54:40","323381a2701ad87837c56a251e950013",
"35","Satrapi, Marjane|Ripa, Mattias","Persepolis: the Story Of a Childhood","9780375714573","Pantheon","2000-01-01","0","1,","Default,","0","Persepolis (1-2)|Persepolis|Persepolis (12\\|Omnibus 1-2)","160","","13.95","0","","","","Paperback","0","","","A <i>New York Times</i> Notable Book<br>A <i>Time Magazine</i> “Best Comix of the Year”<br>A <i>San Francisco Chronicle </i>and <i>Los Angeles Times</i> Best-seller<br><br>Wise, funny, and heartbreaking, <i>Persepolis</i> is Marjane Satrapi’s memoir of growing up in Iran during the Islamic Revolution. In powerful black-and-white comic strip images, Satrapi tells the story of her life in Tehran from ages six to fourteen, years that saw the overthrow of the Shah’s regime, the triumph of the Islamic Revolution, and the devastating effects of war with Iraq. The intelligent and outspoken only child of committed Marxists and the great-granddaughter of one of Iran’s last emperors, Marjane bears witness to a childhood uniquely entwined with the history of her country.<br><br><i>Persepolis</i> paints an unforgettable portrait of daily life in Iran and of the bewildering contradictions between home life and public life. Marjane’s child’s-eye view of dethroned emperors, state-sanctioned whippings, and heroes of the revolution allows us to learn as she does the history of this fascinating country and of her own extraordinary family. Intensely personal, profoundly political, and wholly original, <i>Persepolis</i> is at once a story of growing up and a reminder of the human cost of war and political repression. It shows how we carry on, with laughter and tears, in the face of absurdity. And, finally, it introduces us to an irresistible little girl with whom we cannot help but fall in love.","History / Middle East / General","English","2014-01-21 19:13:17","9516","2014-09-27 04:26:40","2014-09-14 22:54:42","494426c0b48ef18e0be402e361c3c7c5",
"36","Watterson, Bill","Attack Of the Deranged Mutant Killer Monster Snow Goons: a Calvin and Hobbes Collection","9780836218831","Andrews McMeel Publishing","1992-01-01","0","1,","Default,","0","Calvin and Hobbes (7)|Calvin and Hobbes Collections (4)|Calvin & Hobbes","128","","12.99","0","","","","Paperback","0","","","&amp;nbsp;<br><br>Online:<br><a href=""http://gocomics.com/calvinandhobbes/"" target=""_blank"" rel=""nofollow"">gocomics.com/calvinandhobbes/</a>","Humor / Form / Comic Strips & Cartoons","English","2014-01-21 19:13:31","77726","2014-09-27 04:26:46","2014-09-14 22:54:45","59e029b18f3f378dfba13f98c14e9938",
"37","Watterson, Bill","Calvin and Hobbes: Scientific Progress Goes ""Boink""","9780836218787","Andrews McMeel Publishing","1991-01-01","0","1,","Default,","0","Calvin and Hobbes (6)|Calvin et Hobbes (9)","128","","12.99","0","","","","Paperback","0","","","<I>Calvin and Hobbes</I> touched the hearts (and funny bones) of the millions who read the award-winning strip. One look at this <I>Calvin and Hobbes</I> collection and it is immediately evident that Bill Watterson's imagination, wit, and sense of adventure were unmatched.<BR><BR>  In this collection, Calvin and his tiger-striped sidekick Hobbes are hilarious whether the two are simply lounging around philosophizing about the future of mankind or plotting their latest money-making scheme. Chock-full of the familiar adventures of Spaceman Spiff, findings of Dad's popularity poll, and time travel to the Jurrassic Age, <I>Scientific Progress Goes ""Boink""</I> is guaranteed to set scientific inquiry back an eonâ€”and advance the reading pleasure of all<I> Calvin and Hobbes</I> fans.","Humor / General","English","2014-01-21 19:13:56","70488","2014-09-27 04:27:20","2014-09-14 22:54:47","ecafd0f268021e86176b65c3b7bddf0c",
"40","Cruise, Edwina Jannie|Cruise, Edwina J.","English Grammar For Students Of Russian: the Study Guide For Those Learning Russian","9780934034210","Olivia & Hill Press","1993-06-01","0","1,","Default,","0","English grammar series","171","","19.95","0","","","","Paperback","0","","","Second edition of this popular self-study guide for students of Russian. Each chapter covers a grammar point: i.e., a part of speech (noun, verb, pronoun, adjective), a word's function in a sentence (subject, direct object, indirect object), a grammatical term (tense, conjugation, declension, gender). Each chapter is divided into two sections: 1. In English: grammar is explained as it relates to English, anticipating concepts necessary for Russian. 2. In Russian: grammar is explained as it relates to Russian, with examples and explanations of the rules applied. Points out similarities, differences, and alerts students to pitfalls. Part of the O&H Study Guide series for students of foreign languages. Experience has shown that students using the O&H Russian Study Guide improve their performance in Russian grammar thanks to a better understanding of English grammar. Teachers can devote more class time to developing communicative skills.","Foreign Language Study / Russian","English","2014-01-21 19:15:32","297899","2014-09-27 04:27:46","2014-09-14 22:54:50","25e7f0b5c67f51233fedeac6d215de6a",
"41","Abu-Lughod, Lila","Veiled Sentiments: Honor and Poetry in a Bedouin Society","9780520224735","University Of California Press","2000-03-31","0","1,","Default,","0","updated with a new preface","356","","31.95","0","","","","Paperback","0","","","<em>Updated Edition With a New Preface</em><br><br>Lila Abu-Lughod lived with a community of Bedouins in the Western Desert of Egypt for nearly two years, studying gender relations and the oral lyric poetry through which women and young men express personal feelings. The poems are haunting, the evocation of emotional life vivid. But her analysis also reveals how deeply implicated poetry and sentiment are in the play of power and the maintenance of a system of social hierarchy. What begins as a puzzle about a single poetic genre becomes a reflection on the politics of sentiment and the relationship between ideology and human experience.","Social Science / Gender Studies","English","2014-01-21 19:15:44","154828","2014-09-27 04:27:52","2014-09-14 22:54:52","3da7683d6be872c2415e2b04f1a7d52c",
"42","Said, Edward W.","Orientalism","9780394740676","Vintage","1979-10-12","0","1,","Default,","0","","395","","16.95","0","","","","Paperback","0","","","Said's seminal book acutely describes the phenomenon of Orientalism which ""can be discussed and analysed as the corporate institution for dealing with the Orient"". By making statements about it, we rule it. Orientalism is a Western style for dominating, restructuring and having authority over an Other(ed) place.","History / Middle East / General","English","2014-01-21 19:15:58","355190","2014-09-27 04:27:58","2014-09-14 22:54:57","629981cb4f5bc25ac3e8db7983687175",
"43","Roach, Mary","Bonk: the Curious Coupling Of Science and Sex","9780393064643","W. W. Norton & Company","2008-03-17","0","1,","Default,","0","","319","","24.95","0","","","","Hardcover","0","","","The study of sexual physiology - what happens, and why, and how to make it happen better - has been a paying career or a diverting sideline for scientists as far-ranging as Leonardo da Vinci and James Watson. The research has taken place behind the closed doors of laboratories, brothels, MRI centers, pig farms, sex-toy R&amp;D labs, and Alfred Kinsey's attic.<br><br>Mary Roach, ""the funniest science writer in the country"" (Burkhard Bilger of 'The New Yorker'), devoted the past two years to stepping behind those doors. Can a person think herself to orgasm? Can a dead man get an erection? Is vaginal orgasm a myth? Why doesn't Viagra help women or, for that matter, pandas? <br><br>In 'Bonk', Roach shows us how and why sexual arousal and orgasm, two of the most complex, delightful, and amazing scientific phenomena on earth, can be so hard to achieve and what science is doing to slowly make the bedroom a more satisfying place. 16 illustrations.","Science / Life Sciences / Human Anatomy & Physiology","English","2014-01-21 19:16:15","2082136","2014-09-27 04:28:05","2014-09-14 22:55:00","ace4119ee3c1ec274088f591937d78e2",
"44","Guthman, Julie","Weighing In: Obesity, Food Justice, and the Limits Of Capitalism","9780520266254","University Of California Press","2011-11-05","0","1,","Default,","0","California Studies in Food and Culture|California Studies in Food and Culture (32)","248","","28.95","0","","","","Paperback","0","","","<em>Weighing In</em> takes on the ""obesity epidemic,"" challenging many widely held assumptions about its causes and consequences. Julie Guthman examines fatness and its relationship to health outcomes to ask if our efforts to prevent ""obesity"" are sensible, efficacious, or ethical. She also focuses the lens of obesity on the broader food system to understand why we produce cheap, over-processed food, as well as why we eat it. Guthman takes issue with the currently touted remedy to obesity--promoting food that is local, organic, and farm fresh. While such fare may be tastier and grown in more ecologically sustainable ways, this approach can also reinforce class and race inequalities and neglect other possible explanations for the rise in obesity, including environmental toxins. Arguing that ours is a political economy of bulimia--one that promotes consumption while also insisting upon thinness--Guthman offers a complex analysis of our entire economic system.","Social Science / Sociology / General","English","2014-01-21 19:16:29","10998528","2014-09-27 04:28:11","2014-09-14 22:55:02","2f3be3d533538bdb5efa6de89f33cd36",
